sample,mode,roundtrips,requests,payload_bytes_per_transfer,total_transfer_bytes,queue_capacity,queue_high_water,wall_ns
0,sync_cpu,20000,60000,1024,40960000,0,0,14222041
0,fifo_cpu,20000,60000,1024,40960000,16,3,237500125
1,fifo_cpu,20000,60000,1024,40960000,16,3,182002083
1,sync_cpu,20000,60000,1024,40960000,0,0,13036667
2,sync_cpu,20000,60000,1024,40960000,0,0,13208916
2,fifo_cpu,20000,60000,1024,40960000,16,3,172842708
3,fifo_cpu,20000,60000,1024,40960000,16,3,203571209
3,sync_cpu,20000,60000,1024,40960000,0,0,14281375
4,sync_cpu,20000,60000,1024,40960000,0,0,13435875
4,fifo_cpu,20000,60000,1024,40960000,16,3,393899208
5,fifo_cpu,20000,60000,1024,40960000,16,3,196091375
5,sync_cpu,20000,60000,1024,40960000,0,0,13673500
6,sync_cpu,20000,60000,1024,40960000,0,0,13918500
6,fifo_cpu,20000,60000,1024,40960000,16,3,205983500
