sample,mode,roundtrips,requests,payload_bytes_per_transfer,total_transfer_bytes,queue_capacity,queue_high_water,wall_ns
0,sync_cpu,20000,60000,1024,40960000,0,0,12870458
0,fifo_cpu,20000,60000,1024,40960000,16,3,182063166
1,fifo_cpu,20000,60000,1024,40960000,16,3,185236167
1,sync_cpu,20000,60000,1024,40960000,0,0,12795000
2,sync_cpu,20000,60000,1024,40960000,0,0,13028083
2,fifo_cpu,20000,60000,1024,40960000,16,3,182597833
3,fifo_cpu,20000,60000,1024,40960000,16,3,180985500
3,sync_cpu,20000,60000,1024,40960000,0,0,13414334
4,sync_cpu,20000,60000,1024,40960000,0,0,15018834
4,fifo_cpu,20000,60000,1024,40960000,16,3,222001167
5,fifo_cpu,20000,60000,1024,40960000,16,3,179858334
5,sync_cpu,20000,60000,1024,40960000,0,0,13938417
6,sync_cpu,20000,60000,1024,40960000,0,0,13295458
6,fifo_cpu,20000,60000,1024,40960000,16,3,173935000
